job_id,submit_t,job_type,gpus_request,duration_s_intended,pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,total_pending,pending_gpus,running_gpus,gpu_nodes_alloc,gpu_nodes_total,util_gpu_mean,util_gpu_std,util_gpu_max,util_mem_mean,temp_c_mean,temp_c_max,power_w_mean,power_w_max,mem_used_mb_mean,util_mem_std,util_mem_max,mem_used_mb_max,power_efficiency,mem_pressure,start_t,wait_seconds,wait_threshold_p90,label_long_wait,submit_epoch_ms
0,134.0,burst,7,49.0,0.5,0.0,0.0,0.7,0,0,0,0,10,80.0021726821342,30.24243935767969,96.6316520835587,40.416588325585394,52.83013804244123,81.76168896193268,269.0432392360919,532.7234865499074,58168.81672076163,8.782939538358102,62.558390428314674,60236.1611006052,0.29735804887455425,0.40416588325585395,134.0,0.0,131408.0,0,134000
1,153.0,burst,2,48.0,0.5,0.0,0.0,0.2,0,0,7,7,10,60.771237992808274,25.57001704721309,98.59429900781154,62.44068845318408,53.825682383290946,73.02228643797041,358.45705023626664,280.232139791574,66658.4321647355,8.123850781655015,79.06648330210862,69313.10411213482,0.169535619268062,0.6244068845318408,153.0,0.0,131408.0,0,153000
2,173.0,burst,10,49.0,0.3333333333333333,0.0,0.9,1.0,0,0,9,9,10,52.9332121892349,15.740909790056419,93.99886036295801,90.73659667860139,70.27667662163087,82.37905733619228,330.5827364920373,529.7789069779029,64361.32197674749,8.002850820085847,100.0,65903.11231393927,0.16012092086517618,0.9073659667860139,209.0,36.0,131408.0,0,173000
3,209.0,long,2,358.0,0.5,0.0,1.0,0.2,0,0,10,10,10,82.5387595505432,10.443151588290846,94.50330139940984,33.771184564752275,54.1035907411349,85.8532272478865,231.3485759507879,436.1890381666711,44470.24020704345,16.771446072791523,55.992133931669,44702.06507718197,0.3567722827397075,0.33771184564752277,351.0,142.0,131408.0,0,209000
4,245.0,medium,2,163.0,0.6666666666666666,0.2,1.0,0.4,1,2,10,10,10,74.4533297708887,31.566515018847625,73.17957352607355,83.07425589933568,62.603747983205594,64.99667253030634,336.57868608242046,579.8695262494488,31865.292071142932,21.484058532188897,100.0,32940.45838004289,0.22120631177654776,0.8307425589933568,351.0,106.0,131408.0,0,245000
5,351.0,burst,2,48.0,0.3333333333333333,0.0,0.0,0.2,0,0,4,4,10,59.82532609123281,24.67187473451647,100.32622898636713,75.8224431395713,59.3673506333477,88.73875533588928,220.82060611188038,514.2837966698953,39220.57085603246,10.290943969739205,100.0,40159.14554197783,0.27092275102678537,0.758224431395713,351.0,0.0,131408.0,0,351000
6,420.0,medium,5,163.0,0.3333333333333333,0.0,0.0,0.5,0,0,4,4,10,66.76779902333116,36.75908590181307,83.10452280456389,78.92144586416087,64.41394290220126,100.1137945931288,287.31881642825067,401.90157785585177,59886.65758537698,6.720225733187684,99.97745229524077,61344.45369288894,0.2323822708632257,0.7892144586416088,420.0,0.0,131408.0,0,420000
7,440.0,memheavy,2,97.0,0.25,0.0,0.5,0.2,0,0,9,9,10,28.39577386248009,9.350830377432427,84.61778181562163,8.098099867498371,43.28238887091439,98.64893181474744,245.80963859342174,576.193890865368,44277.041478274055,11.288108657747316,14.834342855357558,46771.05927108227,0.1155193670393363,0.0809809986749837,531.0,91.0,131408.0,0,440000
8,459.0,burst,2,48.0,0.4,0.2,0.5,0.4,1,2,9,9,10,82.8802975953006,36.65703293929202,80.31095394201667,57.10212116486874,52.99002031751815,66.75782805077523,319.9608096912416,530.2705726685298,74966.37882840211,11.690149374706042,84.92990796183066,76911.56804486568,0.2590326536405478,0.5710212116486875,682.0,223.0,131408.0,0,459000
9,460.0,medium,2,163.0,0.5,0.4,0.5,0.6,2,4,9,9,10,55.909992259299784,56.633565413911434,84.64644912671965,44.630296454063846,54.06812411920069,91.53994564333954,452.2478986563959,581.924405279332,84285.74608318928,13.443568502349052,77.8320915224524,85130.15893877023,0.12362687018647374,0.44630296454063845,682.0,222.0,131408.0,0,460000
10,491.0,short,2,65.0,0.5714285714285714,0.6,0.5,0.8,3,6,9,9,10,75.37986569484025,11.246639639553457,80.82876147997383,20.24624129361655,52.06200059424208,66.57838332673484,300.14672580345194,621.4113409803897,50984.739695230004,7.991010506690317,45.52177020374424,52274.2414597858,0.2511433882647182,0.2024624129361655,682.0,191.0,131408.0,0,491000
