job_id,submit_epoch_ms,total_pending_x,pending_gpus_x,job_type,start_epoch_ms,total_running,running_gpus_x,wait_ms,wait_seconds,wait_minutes,label_long_wait,wait_threshold_p90,pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,total_pending_y,pending_gpus_y,running_gpus_y,gpu_nodes_alloc,gpu_nodes_total,util_gpu_mean,util_gpu_std,util_gpu_max,util_mem_mean,util_mem_std,util_mem_max,temp_c_mean,temp_c_max,power_w_mean,power_w_max,mem_used_mb_mean,mem_used_mb_max,mem_total_mb_first,power_efficiency,mem_pressure,job_type_encoded
5,1770343641000,0,0,,1770343703000,1,1,62000,62.0,1.0333333333333334,0,133.0,0.0,0.0,0.8888888888888888,0.2666666666666666,0,0,1,1,9,,,,,,,,,,,,,,,,-1
6,1770344012000,0,0,,1770344079000,1,1,67000,67.0,1.1166666666666667,0,133.0,0.0,0.0,0.5,0.15,0,0,1,5,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.405,11.04,1.0,1.0,15360.0,0.0,6.510416666666667e-05,-1
8,1770344132000,0,0,,1770344200000,1,1,68000,68.0,1.1333333333333333,0,133.0,0.0,0.0,0.6,0.18,0,0,1,4,10,0.0,0.0,0.0,0.0,0.0,0.0,20.8,21.0,9.1855,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,-1
7,1770344226000,2,2,,1770344305000,2,2,79000,79.0,1.3166666666666669,0,133.0,0.6666666666666666,0.0034305317324185,0.9,0.5376958261863922,2,2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,23.8,26.0,9.246166666666666,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,-1
9,1770344252000,0,0,,1770344320000,1,1,68000,68.0,1.1333333333333333,0,133.0,0.0,0.0,0.7,0.21,0,0,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,9.159166666666666,10.85,1.0,1.0,15360.0,0.0,6.510416666666667e-05,-1
10,1770344372000,0,0,,1770344440000,1,1,68000,68.0,1.1333333333333333,0,133.0,0.0,0.0,0.9,0.27,0,0,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,9.187333333333331,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,-1
14,1770345513000,6,6,short,1770345548000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.8571428571428571,0.0102915951972555,0.8,0.5859446214163195,6,6,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.291333333333334,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
12,1770345516000,6,6,medium,1770345659000,2,2,143000,143.0,2.3833333333333333,1,133.0,0.75,0.0102915951972555,0.8,0.5430874785591767,6,6,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.441666666666663,27.0,9.337166666666668,11.07,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
16,1770345549000,4,4,short,1770345584000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.6666666666666666,0.006861063464837,0.7,0.4787249857061177,4,4,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.476666666666668,11.24,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
17,1770345585000,1,1,short,1770345619000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.3333333333333333,0.0017152658662092,0.5,0.2838479130931961,1,1,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,20.066666666666663,21.0,9.149666666666668,10.85,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
15,1770345632000,3,3,short,1770345666000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.6,0.0051457975986277,0.8,0.4815437392795883,3,3,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.766666666666666,21.0,9.182333333333334,10.55,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
27,1770345660000,17,17,medium,1770345793000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8947368421052632,0.0291595197255574,0.8,0.6066425927597725,17,17,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.140666666666668,10.67,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
28,1770345667000,16,16,medium,1770345800000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8888888888888888,0.0274442538593482,0.8,0.60378883171336,16,16,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.791666666666668,21.0,9.155,10.75,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
